Student Number,Password,Email
40105141,TEST7,40105142@hugbaird.ac.uk
40105143,TET7,40105142@hugbaird.ac.uk
40105144,TEST8,40105142@hugbaird.ac.uk
40105145,TST7,40105142@hugbaird.ac.uk
40105146,TET5,40105142@hugbaird.ac.uk
40105147,TET4,40105142@hugbaird.ac.uk
40105148,TEST1,40105142@hugbaird.ac.uk
40105149,TEST2,40105142@hugbaird.ac.uk
40105150,TEST10,40105142@hugbaird.ac.uk
40105142,YES,40105142@hugbaird.ac.uk
01,TESST65,ADMIN.1@GMAIL.COM
40105142,Y,40105142@hugbaird.ac.uk
12345678,TTTTTTT,40105142@hugbaird.ac.uk
